SEASON,TEAM_NAME,PLAYOFF_RANK,CONFERENCE
2005,Philadelphia 76ers,9,East
2005,Utah Jazz,9,West
2005,Charlotte Hornets,10,West
2005,Orlando Magic,10,East
2005,Boston Celtics,11,East
2005,Oklahoma City Thunder,11,West
2005,Houston Rockets,12,West
2005,Toronto Raptors,12,East
2005,Golden State Warriors,13,West
2005,Charlotte Hornets,13,East
2005,Atlanta Hawks,14,East
2005,Minnesota Timberwolves,14,West
2005,New York Knicks,15,East
2005,Portland Trail Blazers,15,West
2006,Detroit Pistons,1,East
2006,Dallas Mavericks,1,West
2006,Cleveland Cavaliers,2,East
2006,Phoenix Suns,2,West
2006,San Antonio Spurs,3,West
2006,Toronto Raptors,3,East
2006,Utah Jazz,4,West
2006,Miami Heat,4,East
2006,Chicago Bulls,5,East
2006,Houston Rockets,5,West
2006,Denver Nuggets,6,West
2006,Brooklyn Nets,6,East
2006,Los Angeles Lakers,7,West
2006,Washington Wizards,7,East
2006,Golden State Warriors,8,West
2006,Orlando Magic,8,East
2006,Indiana Pacers,9,East
2006,Los Angeles Clippers,9,West
2006,Philadelphia 76ers,10,East
2006,Charlotte Hornets,10,West
2006,Sacramento Kings,11,West
2006,Charlotte Hornets,11,East
2006,New York Knicks,12,East
2006,Portland Trail Blazers,12,West
2006,Atlanta Hawks,13,East
2006,Minnesota Timberwolves,13,West
2006,Milwaukee Bucks,14,East
2006,Oklahoma City Thunder,14,West
2006,Boston Celtics,15,East
2006,Memphis Grizzlies,15,West
2007,Boston Celtics,1,East
2007,Los Angeles Lakers,1,West
2007,Detroit Pistons,2,East
2007,Charlotte Hornets,2,West
2007,San Antonio Spurs,3,West
2007,Orlando Magic,3,East
2007,Utah Jazz,4,West
2007,Cleveland Cavaliers,4,East
2007,Houston Rockets,5,West
2007,Washington Wizards,5,East
2007,Phoenix Suns,6,West
2007,Toronto Raptors,6,East
2007,Philadelphia 76ers,7,East
2007,Dallas Mavericks,7,West
2007,Denver Nuggets,8,West
2007,Atlanta Hawks,8,East
2007,Indiana Pacers,9,East
2007,Golden State Warriors,9,West
2007,Brooklyn Nets,10,East
2007,Portland Trail Blazers,10,West
2007,Chicago Bulls,11,East
2007,Sacramento Kings,11,West
2007,Los Angeles Clippers,12,West
2007,Charlotte Hornets,12,East
2007,Milwaukee Bucks,13,East
2007,Minnesota Timberwolves,13,West
2007,New York Knicks,14,East
2007,Memphis Grizzlies,14,West
2007,Oklahoma City Thunder,15,West
2007,Miami Heat,15,East
2008,Los Angeles Lakers,1,West
2008,Cleveland Cavaliers,1,East
2008,Boston Celtics,2,East
2008,Denver Nuggets,2,West
2008,San Antonio Spurs,3,West
2008,Orlando Magic,3,East
2008,Portland Trail Blazers,4,West
2008,Atlanta Hawks,4,East
2008,Houston Rockets,5,West
2008,Miami Heat,5,East
2008,Philadelphia 76ers,6,East
2008,Dallas Mavericks,6,West
2008,Chicago Bulls,7,East
2008,Charlotte Hornets,7,West
2008,Utah Jazz,8,West
2008,Detroit Pistons,8,East
2008,Indiana Pacers,9,East
2008,Phoenix Suns,9,West
2008,Golden State Warriors,10,West
2008,Charlotte Hornets,10,East
2008,Brooklyn Nets,11,East
2008,Minnesota Timberwolves,11,West
2008,Milwaukee Bucks,12,East
2008,Memphis Grizzlies,12,West
2008,Oklahoma City Thunder,13,West
2008,Toronto Raptors,13,East
2008,New York Knicks,14,East
2008,Los Angeles Clippers,14,West
2008,Sacramento Kings,15,West
2008,Washington Wizards,15,East
2009,Los Angeles Lakers,1,West
2009,Cleveland Cavaliers,1,East
2009,Dallas Mavericks,2,West
2009,Orlando Magic,2,East
2009,Atlanta Hawks,3,East
2009,Phoenix Suns,3,West
2009,Boston Celtics,4,East
2009,Denver Nuggets,4,West
2009,Utah Jazz,5,West
2009,Miami Heat,5,East
2009,Milwaukee Bucks,6,East
2009,Portland Trail Blazers,6,West
2009,San Antonio Spurs,7,West
2009,Charlotte Hornets,7,East
2009,Chicago Bulls,8,East
2009,Oklahoma City Thunder,8,West
2009,Houston Rockets,9,West
2009,Toronto Raptors,9,East
2009,Indiana Pacers,10,East
2009,Memphis Grizzlies,10,West
2009,New York Knicks,11,East
2009,Charlotte Hornets,11,West
2009,Detroit Pistons,12,East
2009,Los Angeles Clippers,12,West
2009,Philadelphia 76ers,13,East
2009,Golden State Warriors,13,West
2009,Sacramento Kings,14,West
2009,Washington Wizards,14,East
2009,Brooklyn Nets,15,East
2009,Minnesota Timberwolves,15,West
2010,San Antonio Spurs,1,West
2010,Chicago Bulls,1,East
2010,Los Angeles Lakers,2,West
2010,Miami Heat,2,East
2010,Boston Celtics,3,East
2010,Dallas Mavericks,3,West
2010,Oklahoma City Thunder,4,West
2010,Orlando Magic,4,East
2010,Denver Nuggets,5,West
2010,Atlanta Hawks,5,East
2010,New York Knicks,6,East
2010,Portland Trail Blazers,6,West
2010,Philadelphia 76ers,7,East
2010,Charlotte Hornets,7,West
2010,Indiana Pacers,8,East
2010,Memphis Grizzlies,8,West
2010,Milwaukee Bucks,9,East
2010,Houston Rockets,9,West
2010,Phoenix Suns,10,West
2010,Charlotte Hornets,10,East
2010,Detroit Pistons,11,East
2010,Utah Jazz,11,West
2010,Brooklyn Nets,12,East
2010,Golden State Warriors,12,West
2010,Los Angeles Clippers,13,West
2010,Washington Wizards,13,East
2010,Sacramento Kings,14,West
2010,Toronto Raptors,14,East
2010,Cleveland Cavaliers,15,East
2010,Minnesota Timberwolves,15,West
2011,San Antonio Spurs,1,West
2011,Chicago Bulls,1,East
2011,Oklahoma City Thunder,2,West
2011,Miami Heat,2,East
2011,Los Angeles Lakers,3,West
2011,Indiana Pacers,3,East
2011,Boston Celtics,4,East
2011,Memphis Grizzlies,4,West
2011,Los Angeles Clippers,5,West
2011,Atlanta Hawks,5,East
2011,Denver Nuggets,6,West
2011,Orlando Magic,6,East
2011,New York Knicks,7,East
2011,Dallas Mavericks,7,West
2011,Philadelphia 76ers,8,East
2011,Utah Jazz,8,West
2011,Milwaukee Bucks,9,East
2011,Houston Rockets,9,West
2011,Phoenix Suns,10,West
2011,Detroit Pistons,10,East
2011,Portland Trail Blazers,11,West
2011,Toronto Raptors,11,East
2011,Brooklyn Nets,12,East
2011,Minnesota Timberwolves,12,West
2011,Cleveland Cavaliers,13,East
2011,Golden State Warriors,13,West
2011,Sacramento Kings,14,West
2011,Washington Wizards,14,East
2011,Charlotte Hornets,15,West
2011,Charlotte Hornets,15,East
2012,Oklahoma City Thunder,1,West
2012,Miami Heat,1,East
2012,San Antonio Spurs,2,West
2012,New York Knicks,2,East
2012,Denver Nuggets,3,West
2012,Indiana Pacers,3,East
2012,Brooklyn Nets,4,East
2012,Los Angeles Clippers,4,West
2012,Chicago Bulls,5,East
2012,Memphis Grizzlies,5,West
2012,Atlanta Hawks,6,East
2012,Golden State Warriors,6,West
2012,Boston Celtics,7,East
2012,Los Angeles Lakers,7,West
2012,Milwaukee Bucks,8,East
2012,Houston Rockets,8,West
2012,Philadelphia 76ers,9,East
2012,Utah Jazz,9,West
2012,Dallas Mavericks,10,West
2012,Toronto Raptors,10,East
2012,Detroit Pistons,11,East
2012,Portland Trail Blazers,11,West
2012,Minnesota Timberwolves,12,West
2012,Washington Wizards,12,East
2012,Cleveland Cavaliers,13,East
2012,Sacramento Kings,13,West
2012,Charlotte Hornets,14,West
2012,Charlotte Hornets,14,East
2012,Orlando Magic,15,East
2012,Phoenix Suns,15,West
2013,Indiana Pacers,1,East
2013,San Antonio Spurs,1,West
2013,Oklahoma City Thunder,2,West
2013,Miami Heat,2,East
2013,Los Angeles Clippers,3,West
2013,Toronto Raptors,3,East
2013,Chicago Bulls,4,East
2013,Houston Rockets,4,West
2013,Portland Trail Blazers,5,West
2013,Washington Wizards,5,East
2013,Brooklyn Nets,6,East
2013,Golden State Warriors,6,West
2013,Memphis Grizzlies,7,West
2013,Charlotte Hornets,7,East
2013,Atlanta Hawks,8,East
2013,Dallas Mavericks,8,West
2013,New York Knicks,9,East
2013,Phoenix Suns,9,West
2013,Cleveland Cavaliers,10,East
2013,Minnesota Timberwolves,10,West
2013,Detroit Pistons,11,East
2013,Denver Nuggets,11,West
2013,Boston Celtics,12,East
2013,New Orleans Pelicans,12,West
2013,Orlando Magic,13,East
2013,Sacramento Kings,13,West
2013,Los Angeles Lakers,14,West
2013,Philadelphia 76ers,14,East
2013,Milwaukee Bucks,15,East
2013,Utah Jazz,15,West
2014,Atlanta Hawks,1,East
2014,Golden State Warriors,1,West
2014,Houston Rockets,2,West
2014,Cleveland Cavaliers,2,East
2014,Chicago Bulls,3,East
2014,Los Angeles Clippers,3,West
2014,Portland Trail Blazers,4,West
2014,Toronto Raptors,4,East
2014,Memphis Grizzlies,5,West
2014,Washington Wizards,5,East
2014,San Antonio Spurs,6,West
2014,Milwaukee Bucks,6,East
2014,Boston Celtics,7,East
2014,Dallas Mavericks,7,West
2014,Brooklyn Nets,8,East
2014,New Orleans Pelicans,8,West
2014,Indiana Pacers,9,East
2014,Oklahoma City Thunder,9,West
2014,Miami Heat,10,East
2014,Phoenix Suns,10,West
2014,Utah Jazz,11,West
2014,Charlotte Hornets,11,East
2014,Denver Nuggets,12,West
2014,Detroit Pistons,12,East
2014,Orlando Magic,13,East
2014,Sacramento Kings,13,West
2014,Los Angeles Lakers,14,West
2014,Philadelphia 76ers,14,East
2014,New York Knicks,15,East
2014,Minnesota Timberwolves,15,West
2015,Cleveland Cavaliers,1,East
2015,Golden State Warriors,1,West
2015,San Antonio Spurs,2,West
2015,Toronto Raptors,2,East
2015,Oklahoma City Thunder,3,West
2015,Miami Heat,3,East
2015,Atlanta Hawks,4,East
2015,Los Angeles Clippers,4,West
2015,Boston Celtics,5,East
2015,Portland Trail Blazers,5,West
2015,Dallas Mavericks,6,West
2015,Charlotte Hornets,6,East
2015,Indiana Pacers,7,East
2015,Memphis Grizzlies,7,West
2015,Houston Rockets,8,West
2015,Detroit Pistons,8,East
2015,Chicago Bulls,9,East
2015,Utah Jazz,9,West
2015,Sacramento Kings,10,West
2015,Washington Wizards,10,East
2015,Denver Nuggets,11,West
2015,Orlando Magic,11,East
2015,Milwaukee Bucks,12,East
2015,New Orleans Pelicans,12,West
2015,New York Knicks,13,East
2015,Minnesota Timberwolves,13,West
2015,Brooklyn Nets,14,East
2015,Phoenix Suns,14,West
2015,Los Angeles Lakers,15,West
2015,Philadelphia 76ers,15,East
2016,Boston Celtics,1,East
2016,Golden State Warriors,1,West
2016,Cleveland Cavaliers,2,East
2016,San Antonio Spurs,2,West
2016,Houston Rockets,3,West
2016,Toronto Raptors,3,East
2016,Los Angeles Clippers,4,West
2016,Washington Wizards,4,East
2016,Atlanta Hawks,5,East
2016,Utah Jazz,5,West
2016,Milwaukee Bucks,6,East
2016,Oklahoma City Thunder,6,West
2016,Memphis Grizzlies,7,West
2016,Indiana Pacers,7,East
2016,Chicago Bulls,8,East
2016,Portland Trail Blazers,8,West
2016,Denver Nuggets,9,West
2016,Miami Heat,9,East
2016,Detroit Pistons,10,East
2016,New Orleans Pelicans,10,West
2016,Dallas Mavericks,11,West
2016,Charlotte Hornets,11,East
2016,New York Knicks,12,East
2016,Sacramento Kings,12,West
2016,Minnesota Timberwolves,13,West
2016,Orlando Magic,13,East
2016,Los Angeles Lakers,14,West
2016,Philadelphia 76ers,14,East
2016,Brooklyn Nets,15,East
2016,Phoenix Suns,15,West
2017,Houston Rockets,1,West
2017,Toronto Raptors,1,East
2017,Boston Celtics,2,East
2017,Golden State Warriors,2,West
2017,Philadelphia 76ers,3,East
2017,Portland Trail Blazers,3,West
2017,Oklahoma City Thunder,4,West
2017,Cleveland Cavaliers,4,East
2017,Indiana Pacers,5,East
2017,Utah Jazz,5,West
2017,New Orleans Pelicans,6,West
2017,Miami Heat,6,East
2017,San Antonio Spurs,7,West
2017,Milwaukee Bucks,7,East
2017,Minnesota Timberwolves,8,West
2017,Washington Wizards,8,East
2017,Denver Nuggets,9,West
2017,Detroit Pistons,9,East
2017,Los Angeles Clippers,10,West
2017,Charlotte Hornets,10,East
2017,Los Angeles Lakers,11,West
2017,New York Knicks,11,East
2017,Brooklyn Nets,12,East
2017,Sacramento Kings,12,West
2017,Chicago Bulls,13,East
2017,Dallas Mavericks,13,West
2017,Orlando Magic,14,East
2017,Memphis Grizzlies,14,West
2017,Atlanta Hawks,15,East
2017,Phoenix Suns,15,West
2018,Milwaukee Bucks,1,East
2018,Golden State Warriors,1,West
2018,Denver Nuggets,2,West
2018,Toronto Raptors,2,East
2018,Philadelphia 76ers,3,East
2018,Portland Trail Blazers,3,West
2018,Boston Celtics,4,East
2018,Houston Rockets,4,West
2018,Indiana Pacers,5,East
2018,Utah Jazz,5,West
2018,Brooklyn Nets,6,East
2018,Oklahoma City Thunder,6,West
2018,San Antonio Spurs,7,West
2018,Orlando Magic,7,East
2018,Detroit Pistons,8,East
2018,Los Angeles Clippers,8,West
2018,Sacramento Kings,9,West
2018,Charlotte Hornets,9,East
2018,Los Angeles Lakers,10,West
2018,Miami Heat,10,East
2018,Minnesota Timberwolves,11,West
2018,Washington Wizards,11,East
2018,Atlanta Hawks,12,East
2018,Memphis Grizzlies,12,West
2018,Chicago Bulls,13,East
2018,New Orleans Pelicans,13,West
2018,Cleveland Cavaliers,14,East
2018,Dallas Mavericks,14,West
2018,New York Knicks,15,East
2018,Phoenix Suns,15,West
2019,Los Angeles Lakers,1,West
2019,Milwaukee Bucks,1,East
2019,Los Angeles Clippers,2,West
2019,Toronto Raptors,2,East
2019,Boston Celtics,3,East
2019,Denver Nuggets,3,West
2019,Indiana Pacers,4,East
2019,Houston Rockets,4,West
2019,Miami Heat,5,East
2019,Oklahoma City Thunder,5,West
2019,Philadelphia 76ers,6,East
2019,Utah Jazz,6,West
2019,Dallas Mavericks,7,West
2019,Brooklyn Nets,7,East
2019,Orlando Magic,8,East
2019,Portland Trail Blazers,8,West
2019,Memphis Grizzlies,9,West
2019,Washington Wizards,9,East
2019,Phoenix Suns,10,West
2019,Charlotte Hornets,10,East
2019,San Antonio Spurs,11,West
2019,Chicago Bulls,11,East
2019,New York Knicks,12,East
2019,Sacramento Kings,12,West
2019,New Orleans Pelicans,13,West
2019,Detroit Pistons,13,East
2019,Atlanta Hawks,14,East
2019,Minnesota Timberwolves,14,West
2019,Cleveland Cavaliers,15,East
2019,Golden State Warriors,15,West
2020,Los Angeles Clippers,0,West
2020,Golden State Warriors,0,West
2020,Indiana Pacers,0,East
2020,Oklahoma City Thunder,0,West
2020,San Antonio Spurs,0,West
2020,Boston Celtics,0,East
2020,Denver Nuggets,0,West
2020,Los Angeles Lakers,0,West
2020,Milwaukee Bucks,0,East
2020,Brooklyn Nets,0,East
2020,Philadelphia 76ers,0,East
2020,Chicago Bulls,0,East
2020,Houston Rockets,0,West
2020,New York Knicks,0,East
2020,Utah Jazz,0,West
2020,Detroit Pistons,0,East
2020,Atlanta Hawks,0,East
2020,Cleveland Cavaliers,0,East
2020,New Orleans Pelicans,0,West
2020,Dallas Mavericks,0,West
2020,Miami Heat,0,East
2020,Minnesota Timberwolves,0,West
2020,Orlando Magic,0,East
2020,Phoenix Suns,0,West
2020,Portland Trail Blazers,0,West
2020,Sacramento Kings,0,West
2020,Toronto Raptors,0,East
2020,Memphis Grizzlies,0,West
2020,Washington Wizards,0,East
2020,Charlotte Hornets,0,East
2021,Miami Heat,1,East
2021,Phoenix Suns,1,West
2021,Boston Celtics,2,East
2021,Memphis Grizzlies,2,West
2021,Milwaukee Bucks,3,East
2021,Golden State Warriors,3,West
2021,Philadelphia 76ers,4,East
2021,Dallas Mavericks,4,West
2021,Toronto Raptors,5,East
2021,Utah Jazz,5,West
2021,Chicago Bulls,6,East
2021,Denver Nuggets,6,West
2021,Brooklyn Nets,7,East
2021,Minnesota Timberwolves,7,West
2021,Los Angeles Clippers,8,West
2021,Cleveland Cavaliers,8,East
2021,Atlanta Hawks,9,East
2021,New Orleans Pelicans,9,West
2021,San Antonio Spurs,10,West
2021,Charlotte Hornets,10,East
2021,Los Angeles Lakers,11,West
2021,New York Knicks,11,East
2021,Sacramento Kings,12,West
2021,Washington Wizards,12,East
2021,Indiana Pacers,13,East
2021,Portland Trail Blazers,13,West
2021,Oklahoma City Thunder,14,West
2021,Detroit Pistons,14,East
2021,Houston Rockets,15,West
2021,Orlando Magic,15,East
2022,Denver Nuggets,1,West
2022,Milwaukee Bucks,1,East
2022,Memphis Grizzlies,2,West
2022,Boston Celtics,2,East
2022,Philadelphia 76ers,3,East
2022,Sacramento Kings,3,West
2022,Cleveland Cavaliers,4,East
2022,Phoenix Suns,4,West
2022,New York Knicks,5,East
2022,Los Angeles Clippers,5,West
2022,Brooklyn Nets,6,East
2022,Golden State Warriors,6,West
2022,Los Angeles Lakers,7,West
2022,Miami Heat,7,East
2022,Atlanta Hawks,8,East
2022,Minnesota Timberwolves,8,West
2022,New Orleans Pelicans,9,West
2022,Toronto Raptors,9,East
2022,Chicago Bulls,10,East
2022,Oklahoma City Thunder,10,West
2022,Indiana Pacers,11,East
2022,Dallas Mavericks,11,West
2022,Utah Jazz,12,West
2022,Washington Wizards,12,East
2022,Orlando Magic,13,East
2022,Portland Trail Blazers,13,West
2022,Houston Rockets,14,West
2022,Charlotte Hornets,14,East
2022,San Antonio Spurs,15,West
2022,Detroit Pistons,15,East
2023,Boston Celtics,1,East
2023,Oklahoma City Thunder,1,West
2023,Denver Nuggets,2,West
2023,New York Knicks,2,East
2023,Milwaukee Bucks,3,East
2023,Minnesota Timberwolves,3,West
2023,Cleveland Cavaliers,4,East
2023,Los Angeles Clippers,4,West
2023,Dallas Mavericks,5,West
2023,Orlando Magic,5,East
2023,Indiana Pacers,6,East
2023,Phoenix Suns,6,West
2023,New Orleans Pelicans,7,West
2023,Philadelphia 76ers,7,East
2023,Los Angeles Lakers,8,West
2023,Miami Heat,8,East
2023,Chicago Bulls,9,East
2023,Sacramento Kings,9,West
2023,Atlanta Hawks,10,East
2023,Golden State Warriors,10,West
2023,Houston Rockets,11,West
2023,Brooklyn Nets,11,East
2023,Toronto Raptors,12,East
2023,Utah Jazz,12,West
2023,Memphis Grizzlies,13,West
2023,Charlotte Hornets,13,East
2023,San Antonio Spurs,14,West
2023,Washington Wizards,14,East
2023,Portland Trail Blazers,15,West
2023,Detroit Pistons,15,East
